Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.
Leslie Smith,0,101 of 192,52%,114 of 207,0 of 0,0%,0,0,0
Robert Whittaker,0,74 of 221,33%,94 of 244,0 of 0,0%,0,1,0
Alistair Overeem,0,21 of 38,55%,29 of 46,0 of 0,0%,0,0,0
Curtis Blaydes,0,72 of 168,42%,94 of 194,0 of 13,0%,0,0,0
Anthony Pettis,0,80 of 121,66%,107 of 150,1 of 2,50%,0,5,0
Rob Font,0,70 of 144,48%,79 of 154,2 of 4,50%,3,2,0
Aleksei Oleinik,1,53 of 85,62%,132 of 172,3 of 4,75%,2,3,0
Chad Laprise,1,76 of 179,42%,78 of 181,1 of 1,100%,0,0,0
Thiago Santos,0,60 of 115,52%,65 of 121,0 of 0,0%,0,2,0
Belal Muhammad,0,45 of 110,40%,116 of 194,4 of 12,33%,0,3,0
Cody Stamann,0,94 of 160,58%,124 of 194,8 of 12,66%,0,6,0
Trevin Giles,0,41 of 53,77%,54 of 66,5 of 5,100%,0,6,0
Justin Gaethje,0,104 of 174,59%,104 of 174,0 of 0,0%,0,0,0
Jesse Taylor,0,21 of 24,87%,50 of 59,2 of 3,66%,2,5,1
Drakkar Klose,0,39 of 79,49%,84 of 136,3 of 7,42%,0,1,0
Jared Cannonier,0,84 of 150,56%,86 of 152,1 of 1,100%,0,1,0
Brad Tavares,0,31 of 71,43%,34 of 74,1 of 3,33%,0,2,1
Jordan Johnson,0,42 of 139,30%,47 of 145,2 of 6,33%,0,0,0
Angela Hill,0,47 of 100,47%,65 of 118,1 of 1,100%,0,0,0
James Krause,0,106 of 188,56%,113 of 201,0 of 0,0%,0,0,0
CB Dollaway,0,54 of 72,75%,111 of 134,6 of 6,100%,1,5,1
Tecia Torres,0,15 of 23,65%,26 of 34,0 of 7,0%,1,1,0
Gray Maynard,0,16 of 24,66%,37 of 46,11 of 11,100%,2,6,0
Kevin Lee,0,22 of 30,73%,37 of 45,1 of 1,100%,1,1,0
Tim Boetsch,0,41 of 68,60%,42 of 69,0 of 0,0%,0,0,0
Felice Herrig,0,47 of 93,50%,131 of 182,2 of 5,40%,1,15,0
Dominick Reyes,1,13 of 16,81%,13 of 16,0 of 0,0%,0,0,0
Tim Means,0,64 of 174,36%,76 of 186,0 of 0,0%,0,0,0
Dennis Siver,0,103 of 280,36%,120 of 300,0 of 1,0%,0,0,0
Clay Guida,0,38 of 87,43%,133 of 207,2 of 8,25%,0,4,0
Marvin Vettori,0,69 of 161,42%,81 of 176,3 of 7,42%,0,3,0
Carla Esparza,0,40 of 95,42%,142 of 204,6 of 14,42%,0,0,0
Darrell Horcher,0,37 of 76,48%,56 of 98,0 of 0,0%,2,3,1
Jared Gordon,0,67 of 121,55%,115 of 182,4 of 6,66%,0,5,0
Anthony Rocco Martin,0,82 of 226,36%,83 of 227,1 of 2,50%,1,0,0
Jeremy Kimball,1,17 of 25,68%,21 of 29,0 of 0,0%,0,0,0
Holly Holm,1,25 of 53,47%,25 of 54,0 of 0,0%,0,0,0
Marcin Tybura,0,51 of 92,55%,127 of 188,2 of 3,66%,0,6,0
Colby Covington,0,47 of 105,44%,92 of 154,8 of 15,53%,0,1,0
Rafael Dos Anjos,0,81 of 158,51%,91 of 169,1 of 5,20%,1,0,0
Jon Tuck,0,7 of 13,53%,7 of 13,0 of 0,0%,1,1,0
Walt Harris,1,21 of 41,51%,23 of 43,0 of 0,0%,0,0,0
Alex Caceres,1,51 of 93,54%,56 of 99,0 of 0,0%,1,1,0
Ulka Sasaki,0,21 of 41,51%,25 of 45,2 of 3,66%,1,2,1
Jingliang Li,0,94 of 176,53%,95 of 177,2 of 7,28%,0,0,0
Russell Doane,1,17 of 46,36%,17 of 46,0 of 0,0%,0,0,0
Naoki Inoue,0,62 of 116,53%,151 of 228,0 of 2,0%,5,5,1
Lucie Pudilova,0,53 of 169,31%,69 of 193,0 of 0,0%,2,1,0
Mark Hunt,0,59 of 125,47%,59 of 125,0 of 0,0%,0,0,0
Derek Brunson,1,8 of 17,47%,8 of 17,0 of 0,0%,0,0,0
Dan Hooker,1,69 of 141,48%,74 of 146,0 of 1,0%,0,0,0
Ion Cutelaba,1,15 of 18,83%,15 of 18,0 of 0,0%,0,0,0
Ben Nguyen,0,3 of 7,42%,8 of 12,1 of 1,100%,1,1,0
Alexander Volkanovski,1,87 of 139,62%,93 of 145,4 of 7,57%,0,1,0
Vinc Pichel,1,19 of 38,50%,19 of 38,0 of 0,0%,0,0,0
Luke Jumeau,0,40 of 83,48%,59 of 103,0 of 0,0%,0,0,0
John Moraga,0,56 of 87,64%,73 of 107,2 of 2,100%,4,10,0
Zak Ottow,0,37 of 76,48%,98 of 145,2 of 3,66%,0,1,1
JJ Aldrich,0,98 of 245,40%,98 of 245,0 of 0,0%,0,0,0
Max Holloway,1,104 of 207,50%,128 of 234,0 of 0,0%,0,3,0
Claudia Gadelha,0,8 of 28,28%,8 of 28,1 of 2,50%,1,2,0
Vitor Belfort,0,37 of 78,47%,38 of 80,0 of 0,0%,0,0,0
Paulo Costa,0,43 of 80,53%,50 of 88,0 of 1,0%,0,0,0
Yancy Medeiros,1,33 of 94,35%,34 of 96,0 of 0,0%,0,0,0
Raphael Assuncao,0,43 of 134,32%,43 of 134,0 of 1,0%,0,0,0
Antonio Carlos Junior,0,12 of 23,52%,37 of 56,1 of 1,100%,2,5,0
Matthew Lopez,0,43 of 57,75%,59 of 73,1 of 1,100%,0,0,0
Brian Kelleher,0,4 of 15,26%,4 of 15,0 of 0,0%,1,0,0
Viviane Pereira,0,80 of 208,38%,101 of 232,0 of 0,0%,0,0,0
Luan Chagas,1,95 of 157,60%,95 of 157,0 of 2,0%,1,1,0
Deiveson Figueiredo,1,17 of 26,65%,21 of 31,2 of 3,66%,4,4,0
Alexander Gustafsson,2,97 of 228,42%,108 of 239,1 of 3,33%,0,2,0
Volkan Oezdemir,1,5 of 7,71%,5 of 7,0 of 0,0%,0,0,0
Peter Sobotta,3,46 of 97,47%,50 of 102,0 of 0,0%,0,0,0
Omari Akhmedov,0,52 of 153,33%,99 of 213,6 of 9,66%,0,3,0
Nordine Taleb,0,57 of 88,64%,71 of 103,2 of 2,100%,0,3,1
Jack Hermansson,0,23 of 29,79%,39 of 47,1 of 1,100%,0,2,0
Pedro Munhoz,0,65 of 151,43%,72 of 158,3 of 10,30%,1,1,0
Trevor Smith,1,39 of 60,65%,92 of 123,4 of 7,57%,0,5,0
Joaquim Silva,0,40 of 142,28%,69 of 186,0 of 0,0%,1,3,0
Bojan Velickovic,1,53 of 123,43%,107 of 179,1 of 4,25%,0,0,0
Darren Till,1,31 of 69,44%,33 of 72,2 of 3,66%,0,0,0
Damir Hadzovic,1,14 of 30,46%,19 of 35,0 of 1,0%,0,0,0
Stipe Miocic,1,26 of 56,46%,26 of 56,0 of 0,0%,0,0,0
Joanna Jedrzejczyk,0,225 of 352,63%,230 of 357,0 of 0,0%,0,0,0
Demian Maia,0,23 of 38,60%,67 of 93,4 of 12,33%,0,3,1
Frankie Edgar,0,72 of 103,69%,96 of 130,1 of 3,33%,0,1,0
David Branch,0,39 of 122,31%,93 of 181,2 of 7,28%,0,0,0
Jason Knight,1,59 of 109,54%,65 of 116,2 of 2,100%,3,1,2
Chase Sherman,1,103 of 231,44%,107 of 235,0 of 0,0%,0,1,0
James Vick,1,20 of 52,38%,20 of 52,0 of 0,0%,0,0,0
Cortney Casey,0,103 of 294,35%,172 of 368,0 of 0,0%,0,0,0
Enrique Barzola,0,46 of 148,31%,94 of 212,9 of 15,60%,1,3,0
Gadzhimurad Antigulov,0,2 of 4,50%,7 of 12,1 of 1,100%,1,1,0
Cub Swanson,0,209 of 296,70%,251 of 344,2 of 3,66%,0,4,0
Al Iaquinta,2,12 of 19,63%,12 of 19,0 of 0,0%,0,0,0
Ovince Saint Preux,0,21 of 41,51%,30 of 50,1 of 2,50%,1,1,0
John Dodson,0,48 of 103,46%,48 of 103,0 of 1,0%,0,0,0
Stevie Ray,0,109 of 196,55%,139 of 237,0 of 0,0%,1,0,0
Mike Perry,2,26 of 55,47%,28 of 57,0 of 0,0%,0,0,0
Thales Leites,0,38 of 68,55%,44 of 75,1 of 7,14%,0,0,0
Brandon Moreno,1,24 of 73,32%,34 of 86,0 of 0,0%,2,2,1
Scott Holtzman,1,104 of 190,54%,109 of 198,2 of 4,50%,0,1,2
Danielle Taylor,0,72 of 176,40%,76 of 182,0 of 0,0%,0,0,0
Alexis Davis,0,51 of 123,41%,115 of 192,0 of 0,0%,2,2,1
Bryan Barberena,1,28 of 45,62%,28 of 45,0 of 0,0%,0,0,0
Hector Sandoval,0,32 of 50,64%,52 of 70,3 of 8,37%,0,0,0
Demetrious Johnson,0,108 of 186,58%,135 of 216,1 of 2,50%,1,3,0
Rose Namajunas,1,47 of 72,65%,56 of 86,1 of 1,100%,1,3,1
Robert Whittaker,1,55 of 110,50%,57 of 112,0 of 0,0%,0,0,0
Renato Moicano,0,70 of 116,60%,76 of 123,2 of 5,40%,0,1,0
Alexander Volkov,0,122 of 182,67%,125 of 185,0 of 0,0%,0,0,0
Tom Duquesnoy,2,36 of 49,73%,36 of 49,0 of 0,0%,0,0,0
Rashid Magomedov,0,75 of 189,39%,88 of 202,0 of 1,0%,0,0,0
Tim Elliott,0,57 of 91,62%,98 of 136,12 of 14,85%,1,14,3
Aljamain Sterling,0,83 of 161,51%,162 of 246,2 of 6,33%,0,0,0
Devin Clark,0,68 of 105,64%,159 of 207,4 of 7,57%,0,6,0
Anthony Smith,1,49 of 100,49%,58 of 111,0 of 1,0%,0,1,1
Zak Cummings,0,25 of 72,34%,25 of 72,0 of 0,0%,2,0,0
Ketlen Vieira,0,71 of 235,30%,89 of 256,1 of 5,20%,0,1,0
Daniel Cormier,0,36 of 41,87%,85 of 97,1 of 2,50%,1,1,0
Gegard Mousasi,0,49 of 93,52%,55 of 99,0 of 1,0%,0,0,0
Cynthia Calvillo,0,50 of 169,29%,65 of 188,1 of 1,100%,3,4,0
Thiago Alves,2,79 of 157,50%,103 of 182,1 of 1,100%,0,3,0
Charles Oliveira,0,3 of 7,42%,3 of 7,2 of 2,100%,1,1,0
Myles Jury,0,36 of 52,69%,44 of 62,1 of 1,100%,0,2,0
Kamaru Usman,1,90 of 171,52%,117 of 200,2 of 8,25%,0,2,0
Shane Burgos,1,77 of 167,46%,98 of 190,0 of 0,0%,0,0,0
Patrick Cummins,0,73 of 121,60%,109 of 162,3 of 10,30%,0,1,0
Gregor Gillespie,1,8 of 12,66%,9 of 13,0 of 0,0%,0,1,0
Desmond Green,0,57 of 124,45%,66 of 135,1 of 2,50%,0,0,0
Katlyn Chookagian,0,105 of 273,38%,106 of 274,0 of 11,0%,0,0,0
Magomed Bibulatov,0,51 of 115,44%,94 of 165,2 of 7,28%,0,9,0
Jimi Manuwa,1,6 of 13,46%,6 of 13,0 of 0,0%,0,0,0
Gunnar Nelson,0,8 of 18,44%,17 of 28,1 of 2,50%,1,5,0
Marlon Vera,1,67 of 143,46%,72 of 149,0 of 0,0%,0,0,0
Arnold Allen,0,32 of 74,43%,75 of 118,3 of 6,50%,1,6,0
Joe Duffy,0,51 of 161,31%,61 of 172,0 of 0,0%,0,2,1
Francimar Barroso,0,28 of 62,45%,46 of 82,7 of 12,58%,0,0,0
Tim Johnson,0,52 of 104,50%,102 of 168,1 of 5,20%,0,1,0
Leon Edwards,0,53 of 102,51%,77 of 135,3 of 12,25%,0,1,0
Marc Diakiese,1,6 of 7,85%,6 of 7,0 of 0,0%,0,0,0
Bradley Scott,1,72 of 175,41%,74 of 177,0 of 0,0%,0,0,0
Lina Lansberg,0,80 of 144,55%,96 of 162,1 of 7,14%,0,0,0
Mauricio Rua,2,94 of 173,54%,94 of 174,2 of 3,66%,0,0,0
Edson Barboza,1,30 of 82,36%,31 of 83,0 of 0,0%,0,0,0
Ray Borg,0,36 of 88,40%,53 of 105,0 of 6,0%,0,1,1
Alex Oliveira,0,12 of 24,50%,18 of 31,6 of 11,54%,1,1,0
Kevin Lee,0,15 of 43,34%,23 of 52,1 of 8,12%,1,3,0
Sergio Moraes,0,39 of 93,41%,39 of 93,0 of 0,0%,0,0,0
Joe Soto,0,54 of 113,47%,98 of 176,1 of 1,100%,2,6,0
Michel Prazeres,0,24 of 34,70%,34 of 45,2 of 3,66%,1,2,0
Jeremy Kennedy,0,46 of 74,62%,105 of 143,8 of 9,88%,0,1,0
Paulo Costa,1,22 of 32,68%,23 of 33,0 of 0,0%,0,0,0
Tyron Woodley,1,54 of 125,43%,70 of 141,1 of 2,50%,0,1,0
David Teymur,0,90 of 192,46%,95 of 197,2 of 7,28%,0,0,0
Daniel Kelly,0,74 of 193,38%,92 of 215,0 of 8,0%,0,0,0
Cynthia Calvillo,0,13 of 26,50%,15 of 29,1 of 1,100%,3,2,0
Alistair Overeem,1,55 of 70,78%,59 of 76,0 of 1,0%,0,0,0
Marcin Tybura,0,50 of 66,75%,144 of 174,1 of 2,50%,0,3,0
Darren Elkins,1,28 of 59,47%,72 of 109,0 of 1,0%,1,0,1
Iuri Alcantara,0,23 of 75,30%,27 of 79,1 of 2,50%,1,0,0
Mark Godbeer,0,92 of 167,55%,100 of 176,0 of 0,0%,0,0,0
Tyson Pedro,1,23 of 35,65%,34 of 46,0 of 0,0%,0,1,0
Albert Morales,0,56 of 132,42%,79 of 172,1 of 3,33%,0,1,0
Derrick Lewis,1,39 of 71,54%,39 of 71,0 of 0,0%,0,1,0
Johny Hendricks,0,51 of 136,37%,69 of 155,0 of 0,0%,0,0,0
Gavin Tucker,0,55 of 163,33%,60 of 168,1 of 1,100%,0,0,0
Elias Theodorou,0,38 of 116,32%,70 of 155,1 of 4,25%,0,0,2
Sara McMann,0,7 of 14,50%,7 of 14,2 of 2,100%,1,2,0
Paul Felder,1,23 of 71,32%,23 of 71,0 of 0,0%,0,0,0
Santiago Ponzinibbio,1,53 of 171,30%,65 of 183,0 of 0,0%,0,2,0
Randa Markos,0,48 of 110,43%,62 of 126,0 of 0,0%,0,0,1
Aiemann Zahabi,1,44 of 112,39%,45 of 113,0 of 0,0%,0,1,0
Thiago Santos,1,27 of 71,38%,32 of 76,1 of 2,50%,0,0,0
Gerald Meerschaert,0,3 of 6,50%,5 of 9,0 of 0,0%,1,0,0
Germaine de Randamie,0,80 of 150,53%,144 of 223,0 of 1,0%,0,0,0
Anderson Silva,0,43 of 78,55%,54 of 89,0 of 0,0%,0,0,0
Jacare Souza,0,7 of 18,38%,15 of 30,1 of 2,50%,1,2,0
Glover Teixeira,0,24 of 53,45%,113 of 179,3 of 3,100%,1,11,0
Dustin Poirier,0,97 of 216,44%,122 of 243,3 of 3,100%,0,1,1
Belal Muhammad,0,71 of 152,46%,135 of 236,2 of 5,40%,0,2,0
Wilson Reis,0,34 of 84,40%,52 of 107,6 of 9,66%,2,6,0
Islam Makhachev,0,43 of 58,74%,98 of 127,5 of 5,100%,0,12,0
Rick Glenn,0,52 of 115,45%,60 of 123,0 of 11,0%,0,0,0
Ryan LaFlare,1,29 of 91,31%,51 of 116,1 of 4,25%,0,2,0
Chan Sung Jung,1,17 of 35,48%,19 of 37,0 of 1,0%,0,0,0
Felice Herrig,0,60 of 246,24%,66 of 252,2 of 4,50%,0,2,0
James Vick,0,25 of 67,37%,29 of 71,1 of 2,50%,3,2,0
Volkan Oezdemir,0,82 of 182,45%,103 of 204,0 of 1,0%,0,0,0
Marcel Fortuna,1,15 of 30,50%,17 of 32,0 of 0,0%,0,0,0
Jessica Andrade,0,131 of 322,40%,148 of 342,2 of 3,66%,0,0,0
Chas Skelly,0,21 of 52,40%,29 of 60,2 of 3,66%,1,2,0
Ricardo Ramos,1,45 of 88,51%,55 of 99,0 of 1,0%,1,3,0
Tecia Torres,0,81 of 189,42%,112 of 232,1 of 2,50%,0,2,0
Khalil Rountree Jr.,1,3 of 3,100%,5 of 6,0 of 0,0%,0,0,0
Valentina Shevchenko,0,13 of 17,76%,46 of 51,2 of 2,100%,1,2,0
Jorge Masvidal,2,58 of 102,56%,58 of 102,0 of 0,0%,0,0,0
Francis Ngannou,1,8 of 13,61%,8 of 14,0 of 0,0%,0,0,0
Jason Knight,0,31 of 95,32%,46 of 112,2 of 4,50%,4,2,0
Sam Alvey,0,36 of 84,42%,45 of 95,0 of 1,0%,0,0,0
Raphael Assuncao,0,39 of 101,38%,39 of 101,0 of 0,0%,0,0,0
Jingliang Li,1,37 of 75,49%,43 of 81,0 of 1,0%,0,1,0
Jordan Johnson,0,39 of 67,58%,106 of 162,4 of 5,80%,2,5,0
Eric Spicely,0,1 of 3,33%,5 of 7,1 of 3,33%,1,0,0
Marcos Rogerio de Lima,0,12 of 25,48%,12 of 25,0 of 0,0%,0,0,0
Alexandre Pantoja,0,37 of 99,37%,67 of 135,1 of 3,33%,2,2,0
Jason Gonzalez,0,4 of 18,22%,4 of 18,0 of 0,0%,1,0,0
Yair Rodriguez,1,55 of 111,49%,56 of 113,0 of 0,0%,0,0,0
Joe Lauzon,0,20 of 62,32%,44 of 86,1 of 2,50%,1,0,0
Ben Saunders,0,49 of 139,35%,67 of 165,0 of 0,0%,0,0,0
Sergio Pettis,0,48 of 159,30%,50 of 161,2 of 2,100%,0,0,0
Drakkar Klose,0,68 of 110,61%,114 of 163,2 of 2,100%,0,0,0
Augusto Mendes,0,42 of 109,38%,74 of 142,4 of 9,44%,0,1,0
Aleksei Oleinik,0,7 of 15,46%,11 of 19,0 of 0,0%,1,0,0
Anthony Rocco Martin,0,20 of 40,50%,83 of 119,2 of 6,33%,0,4,0
Nina Ansaroff,0,48 of 106,45%,89 of 155,1 of 1,100%,2,5,0
Walt Harris,1,32 of 73,43%,33 of 74,0 of 1,0%,0,0,0
Joachim Christensen,1,41 of 95,43%,139 of 199,0 of 1,0%,0,0,0
Cyril Asker,0,19 of 47,40%,39 of 90,1 of 1,100%,0,2,0
Amanda Nunes,0,27 of 47,57%,27 of 47,0 of 0,0%,0,0,0
Cody Garbrandt,2,68 of 195,34%,71 of 198,1 of 4,25%,0,0,0
TJ Dillashaw,0,71 of 119,59%,177 of 249,5 of 6,83%,1,8,0
Dong Hyun Kim,0,36 of 107,33%,64 of 138,3 of 8,37%,0,0,0
Ray Borg,0,21 of 38,55%,33 of 53,4 of 8,50%,1,12,0
Neil Magny,0,50 of 91,54%,96 of 139,1 of 1,100%,2,0,0
Antonio Carlos Junior,0,28 of 75,37%,44 of 94,4 of 13,30%,0,1,0
Alex Garcia,1,14 of 29,48%,19 of 34,1 of 2,50%,0,2,0
Niko Price,0,6 of 16,37%,18 of 30,1 of 4,25%,2,2,0
Michelle Waterson,0,12 of 17,70%,13 of 18,1 of 1,100%,2,1,0
Mickey Gall,1,9 of 18,50%,29 of 40,2 of 2,100%,3,4,0
Urijah Faber,1,70 of 126,55%,89 of 151,5 of 10,50%,1,4,0
Alan Jouban,1,69 of 133,51%,69 of 133,2 of 5,40%,0,0,0
Paul Craig,0,31 of 49,63%,57 of 75,1 of 2,50%,3,3,0
Mizuto Hirota,0,57 of 114,50%,165 of 242,6 of 7,85%,0,6,0
Colby Covington,0,76 of 141,53%,96 of 167,12 of 17,70%,0,3,0
Alex Morono,0,111 of 186,59%,112 of 187,0 of 3,0%,0,0,0
Josh Emmett,0,87 of 160,54%,99 of 175,8 of 12,66%,1,2,0
Leslie Smith,1,169 of 401,42%,172 of 404,0 of 0,0%,0,0,0
Eddie Wineland,2,9 of 32,28%,9 of 32,0 of 0,0%,0,0,0
Hector Sandoval,0,33 of 67,49%,42 of 76,2 of 12,16%,2,0,0
Sultan Aliev,0,15 of 26,57%,86 of 105,2 of 3,66%,0,3,1
Max Holloway,1,94 of 208,45%,98 of 212,2 of 2,100%,0,1,0
Donald Cerrone,2,63 of 147,42%,64 of 148,0 of 3,0%,0,0,0
Cub Swanson,0,111 of 210,52%,122 of 226,2 of 5,40%,0,1,1
Kelvin Gastelum,1,62 of 110,56%,68 of 116,0 of 0,0%,0,0,1
Emil Meek,0,50 of 133,37%,96 of 190,1 of 2,50%,1,3,0
Misha Cirkunov,0,8 of 18,44%,13 of 24,2 of 3,66%,1,0,1
Olivier Aubin-Mercier,0,27 of 53,50%,30 of 56,0 of 0,0%,1,1,1
Viviane Pereira,0,25 of 97,25%,42 of 122,1 of 1,100%,0,1,0
Matthew Lopez,0,30 of 54,55%,53 of 78,5 of 6,83%,1,4,1
Lando Vannata,1,10 of 32,31%,10 of 32,0 of 0,0%,0,0,0
Rustam Khabilov,0,42 of 102,41%,93 of 156,4 of 5,80%,0,0,0
Dustin Ortiz,0,34 of 65,52%,109 of 146,4 of 9,44%,0,4,2
Derrick Lewis,0,39 of 90,43%,46 of 97,1 of 3,33%,0,1,0
Francis Ngannou,0,1 of 1,100%,1 of 1,0 of 0,0%,1,0,0
Corey Anderson,0,66 of 103,64%,94 of 133,5 of 5,100%,0,4,0
Gian Villante,1,60 of 108,55%,73 of 121,0 of 0,0%,0,0,0
Justine Kish,0,51 of 107,47%,59 of 117,1 of 1,100%,1,1,2
Randy Brown,1,42 of 82,51%,50 of 90,1 of 1,100%,0,0,0
Gerald Meerschaert,0,14 of 34,41%,18 of 39,0 of 2,0%,1,1,0
Andrew Sanchez,0,74 of 204,36%,79 of 209,0 of 0,0%,0,0,0
Shane Burgos,1,73 of 189,38%,87 of 216,1 of 1,100%,0,2,0
Marc Diakiese,0,9 of 34,26%,38 of 66,6 of 13,46%,0,3,0
Ryan Janes,0,82 of 214,38%,99 of 237,0 of 0,0%,0,1,1
Juliana Lima,0,56 of 124,45%,90 of 161,4 of 6,66%,0,2,0
Demetrious Johnson,0,28 of 58,48%,86 of 116,5 of 7,71%,3,11,1
Joseph Benavidez,0,69 of 232,29%,69 of 232,0 of 0,0%,0,0,0
Jorge Masvidal,0,44 of 63,69%,50 of 70,0 of 0,0%,0,0,0
Jared Cannonier,0,59 of 94,62%,83 of 121,0 of 2,0%,0,1,0
Sara McMann,0,14 of 36,38%,25 of 47,2 of 2,100%,1,2,0
Brandon Moreno,0,54 of 143,37%,78 of 167,5 of 13,38%,0,1,0
Ryan Hall,0,46 of 117,39%,53 of 124,0 of 2,0%,0,0,0
Rob Font,1,26 of 33,78%,32 of 40,1 of 1,100%,1,1,0
Dong Hyun Ma,0,21 of 32,65%,98 of 116,4 of 4,100%,0,8,1
Jamie Moyle,0,73 of 121,60%,114 of 175,3 of 10,30%,0,2,0
Anthony Smith,1,48 of 90,53%,52 of 94,0 of 0,0%,1,0,0
Devin Clark,0,47 of 103,45%,115 of 176,1 of 6,16%,0,1,0
Robert Whittaker,1,33 of 58,56%,35 of 60,0 of 0,0%,0,0,0
Andrew Holbrook,0,30 of 53,56%,80 of 106,2 of 2,100%,3,1,0
Omari Akhmedov,0,23 of 74,31%,57 of 113,3 of 4,75%,0,2,0
Alexander Volkanovski,0,50 of 76,65%,55 of 81,3 of 3,100%,0,0,1
Tyson Pedro,0,4 of 7,57%,15 of 21,2 of 2,100%,1,3,0
Danielle Taylor,0,45 of 162,27%,45 of 162,0 of 2,0%,0,0,0
Daniel Kelly,0,39 of 102,38%,84 of 157,4 of 4,100%,0,4,0
Damien Brown,0,34 of 130,26%,40 of 136,0 of 1,0%,1,0,0
Jonathan Meunier,0,74 of 155,47%,105 of 186,1 of 3,33%,0,2,0
Ben Nguyen,1,105 of 255,41%,112 of 262,0 of 1,0%,0,0,0
Jason Knight,0,59 of 185,31%,80 of 208,4 of 13,30%,4,1,0
Marlon Vera,1,36 of 72,50%,46 of 87,1 of 3,33%,2,2,0
Jenel Lausa,2,56 of 109,51%,70 of 126,1 of 1,100%,1,0,0
Ryan Bader,0,86 of 116,74%,129 of 164,5 of 5,100%,1,9,0
Thomas Almeida,1,41 of 79,51%,42 of 80,0 of 0,0%,0,0,0
Claudia Gadelha,0,34 of 80,42%,43 of 92,6 of 6,100%,1,2,0
Krzysztof Jotko,0,42 of 83,50%,93 of 143,1 of 2,50%,0,5,1
Kamaru Usman,0,71 of 150,47%,129 of 216,1 of 2,50%,1,2,0
Sergio Moraes,0,35 of 91,38%,53 of 109,1 of 3,33%,0,1,0
Cezar Ferreira,0,10 of 30,33%,10 of 30,1 of 1,100%,1,2,0
Gadzhimurad Antigulov,0,0 of 4,0%,0 of 4,1 of 1,100%,1,1,0
Johnny Eduardo,1,26 of 54,48%,28 of 56,0 of 0,0%,0,0,0
Luis Henrique,0,31 of 52,59%,57 of 87,6 of 6,100%,2,4,0
Pedro Munhoz,0,28 of 79,35%,28 of 79,0 of 4,0%,1,0,0
Gegard Mousasi,0,20 of 40,50%,20 of 40,1 of 2,50%,0,1,0
Stevie Ray,0,49 of 117,41%,50 of 119,1 of 3,33%,0,0,0
Alexander Volkov,0,45 of 84,53%,91 of 141,1 of 2,50%,0,0,0
Artem Lobov,0,82 of 160,51%,86 of 165,1 of 1,100%,0,2,0
Jack Marshman,2,42 of 91,46%,50 of 107,0 of 0,0%,0,0,0
Kyoji Horiguchi,0,55 of 92,59%,115 of 161,4 of 9,44%,0,1,0
Kevin Lee,0,20 of 28,71%,46 of 54,7 of 9,77%,2,11,0
Amanda Cooper,0,69 of 172,40%,103 of 213,2 of 3,66%,1,5,0
Justin Ledet,0,3 of 11,27%,8 of 17,1 of 1,100%,1,1,0
Zak Cummings,0,24 of 80,30%,38 of 94,0 of 0,0%,1,1,0
Marion Reneau,0,48 of 136,35%,72 of 170,1 of 1,100%,1,1,0
Brett Johns,0,49 of 80,61%,127 of 171,11 of 15,73%,0,3,0
Abdul Razak Alhassan,3,12 of 22,54%,12 of 22,0 of 0,0%,0,0,0
Conor McGregor,3,32 of 84,38%,40 of 93,0 of 0,0%,0,0,0
Joanna Jedrzejczyk,0,171 of 360,47%,181 of 371,1 of 1,100%,0,0,0
Yoel Romero,1,18 of 40,45%,27 of 51,2 of 3,66%,0,0,0
Raquel Pennington,0,43 of 77,55%,111 of 156,1 of 1,100%,3,1,0
Frankie Edgar,0,40 of 76,52%,45 of 81,5 of 14,35%,2,5,1
Khabib Nurmagomedov,0,94 of 142,66%,140 of 190,2 of 6,33%,1,6,0
Tim Boetsch,1,14 of 25,56%,14 of 25,0 of 0,0%,0,0,0
Vicente Luque,1,9 of 21,42%,9 of 21,0 of 0,0%,0,0,0
Jim Miller,0,28 of 85,32%,45 of 105,4 of 5,80%,1,5,0
Liz Carmouche,0,27 of 64,42%,49 of 88,4 of 7,57%,0,1,0
Tony Ferguson,0,199 of 401,49%,200 of 402,0 of 2,0%,0,0,0
Diego Sanchez,0,46 of 81,56%,69 of 108,0 of 1,0%,0,2,0
Ricardo Lamas,0,11 of 20,55%,13 of 22,1 of 1,100%,1,2,1
Martin Bravo,1,56 of 121,46%,64 of 129,0 of 0,0%,0,0,0
Beneil Dariush,0,60 of 120,50%,73 of 134,0 of 5,0%,0,0,0
Alexa Grasso,0,65 of 134,48%,120 of 200,1 of 2,50%,0,0,0
Erik Perez,0,36 of 96,37%,103 of 177,3 of 5,60%,0,7,1
Joe Soto,0,2 of 2,100%,2 of 2,1 of 1,100%,1,0,0
Max Griffin,0,15 of 30,50%,15 of 30,0 of 0,0%,0,0,0
Douglas Silva de Andrade,1,72 of 158,45%,72 of 158,1 of 1,100%,0,0,0
Sam Alvey,0,63 of 138,45%,65 of 140,0 of 2,0%,0,0,0
Polo Reyes,0,50 of 166,30%,67 of 183,0 of 0,0%,0,0,0
Enrique Barzola,0,72 of 127,56%,129 of 231,7 of 12,58%,0,1,0
Michael Bisping,0,119 of 335,35%,130 of 348,0 of 0,0%,0,0,0
Gegard Mousasi,0,57 of 114,50%,65 of 124,1 of 4,25%,0,2,0
Jimi Manuwa,1,32 of 47,68%,33 of 48,0 of 3,0%,1,0,0
